tip_pos,protrusion,length,total_charge,nr_charged,identity,similarity,Hydropathy,Hydropathy_diff,nom1.0,nom3.0,nom5.0,nom7.0
98.0,5.722804651613315,0.8,-1.0,0.3333333333333333,0.333,0.139,0.32489451476793246,6.71428571428572,0.99587125,0.5265958,0.0060990048,0.002467628
97.0,5.961879620279135,0.2,0.5,1.0,0.417,0.419,-0.8227848101265822,0.0,0.9987494,0.9208268,7.068833e-05,0.00023698818
101.0,5.274386997725698,-0.8,-0.5,0.0,0.714,0.571,0.32067510548523204,0.0,0.03754365,0.010369365,0.00025918678,0.00015890566
98.0,7.551631470124853,-0.8,0.5,0.0,0.714,0.675,-0.2658227848101266,0.0,0.9665155,0.4363815,0.00017845319,0.00021506926
98.0,6.260563754576343,1.2,0.25,0.6666666666666666,0.882,0.901,-0.6793248945147677,0.0,0.002455796,0.0021151702,0.00048083108,0.0001504585
98.0,6.804851110077886,0.4,0.25,0.0,0.538,0.402,0.33333333333333326,0.0,0.99974126,0.71372604,0.00014798433,0.00026638163
98.0,5.8326774305021605,-0.8,0.5,-0.6666666666666666,0.571,0.487,0.9240506329113923,0.0,0.98196006,0.43324363,4.3649678e-05,0.00016286767
99.0,5.549438573545165,1.0,0.5,0.0,0.5,0.409,-0.012658227848101323,0.42857142857142927,0.9990965,0.9819008,0.0008347251,0.00019710156
98.0,10.41727503786655,0.6,-0.5,0.6666666666666666,0.357,0.12,-0.3417721518987341,5.142857142857146,0.99970657,0.98440933,0.4994017,0.0017287196
99.0,7.158524367660813,0.0,0.75,0.3333333333333333,0.545,0.5,-0.17721518987341797,0.2857142857142859,0.07108176,0.021054717,9.53174e-05,0.00027149604
97.0,5.844890973549799,-0.4,0.0,-0.3333333333333333,0.667,0.547,0.7932489451476793,0.0,0.9989749,0.43396613,4.484051e-05,0.00016286767
101.0,5.0614763665767075,1.2,-0.25,0.3333333333333333,0.941,0.969,0.21940928270042198,0.0,0.028925156,0.0019446214,0.0005738436,0.0002130164
99.0,7.316391977518918,-0.2,0.5,-0.6666666666666666,0.4,0.333,0.8354430379746836,0.0,0.99387556,0.93235344,8.185946e-05,0.00053530757
101.0,4.813267376008888,1.2,0.5,0.0,0.412,0.24,0.24050632911392406,0.0,0.9998209,0.9731697,0.0050420375,0.00022290036
99.0,8.050527697538568,1.8,0.5,0.6666666666666666,0.4,0.262,-0.6582278481012657,7.428571428571434,0.9997428,0.992474,0.90687835,0.0064864764
98.0,5.585581072185367,-0.4,-0.5,0.0,0.556,0.521,0.4177215189873418,0.0,0.9907195,0.011524303,6.5949374e-05,0.00015948174
98.0,5.535527426377301,-0.8,1.0,-0.3333333333333333,0.714,0.756,0.09282700421940918,0.0,0.998142,0.0061535803,4.2269145e-05,0.00014720068
99.0,6.583004972638539,1.0,-0.5,0.0,0.375,0.191,-0.31645569620253156,0.0,0.9989115,0.5198019,0.009147412,0.00046862528
99.0,12.100951496710593,1.4,-0.75,0.6666666666666666,0.278,0.053,-0.5189873417721521,0.0,0.9998479,0.99173903,0.47792557,0.002190874
101.0,5.441517454776456,-0.4,-0.5,0.6666666666666666,0.667,0.566,-0.9198312236286919,0.0,0.10810086,0.017622229,0.00018252441,9.760821e-05
101.0,5.658620413027092,0.4,0.5,0.6666666666666666,0.538,0.373,-1.0590717299578059,0.0,0.99992156,0.5210876,0.002187009,0.00010415843
99.0,5.38586009971862,-0.6,0.0,1.0,0.875,0.911,-1.7721518987341771,0.0,0.005334034,0.00023647651,0.00013335241,0.00084787764
99.0,8.164584911799171,1.8,0.5,0.6666666666666666,0.4,0.262,-0.6582278481012657,7.428571428571434,0.9997428,0.98962486,0.5118144,0.007417817
98.0,5.409997880022967,-0.8,-1.0,0.3333333333333333,0.286,0.2,-0.20675105485232056,3.428571428571431,0.066140935,0.018233988,0.0009124435,0.00039053542
98.0,5.669838866420194,-0.4,0.0,-0.3333333333333333,0.556,0.491,0.5991561181434598,0.0,0.9987233,0.034237444,4.4140466e-05,0.00016286767
101.0,4.28207786794911,-1.2,1.5,0.0,0.4,0.296,-0.8396624472573839,0.0,0.97127324,0.004347914,0.00013783161,0.00016445224
99.0,10.387841134888781,0.2,0.0,0.3333333333333333,0.583,0.521,-0.561181434599156,0.0,0.9983999,0.5081677,0.0004551229,0.00021480472
101.0,5.246551235104863,1.0,0.75,1.0,0.562,0.485,-1.2362869198312239,0.0,0.99820673,0.9698123,0.00072571595,0.0012218822
97.0,4.50831099416422,0.0,1.0,-0.3333333333333333,0.727,0.732,0.5864978902953585,0.0,0.077327006,0.018021615,0.00012251698,0.0001817689
101.0,4.6172007888557145,0.0,1.5,0.6666666666666666,0.545,0.413,-1.506329113924051,0.0,0.9852518,0.4801024,0.0006677995,0.00044882047
98.0,7.58008737282084,-0.6,-1.0,0.3333333333333333,0.5,0.283,0.07594936708860757,0.0,0.9613191,0.0075174794,0.00018764683,0.00026038065
101.0,5.273603031595702,-0.2,1.0,1.0,0.5,0.365,-1.9493670886075949,0.0,0.9990978,0.4949082,0.00047624268,0.00084724725
98.0,6.7483841257875135,-0.2,0.0,-0.3333333333333333,0.9,0.925,0.30801687763713076,0.0,0.0061357482,0.0061262706,6.902208e-05,0.00026638163
98.0,5.879630849225714,-0.8,1.0,-0.3333333333333333,0.714,0.756,0.09282700421940918,0.0,0.9993488,0.005483553,3.936908e-05,0.00014720068
101.0,5.431452901658964,0.0,0.0,-0.3333333333333333,0.636,0.541,0.628691983122363,0.0,0.9850722,0.071824506,0.00011506153,0.00016286767
99.0,9.527818983392203,0.6,-1.5,0.6666666666666666,0.5,0.422,-0.6033755274261603,0.0,0.99906665,0.513415,0.00797345,0.00023078526
101.0,5.33137731735392,-0.4,0.5,0.0,0.667,0.608,-0.4894514767932491,0.0,0.9725652,0.45134583,0.00013482574,0.00011910609
99.0,5.311854082852115,0.0,-1.0,0.3333333333333333,0.545,0.369,0.004219409282700426,0.0,0.99942374,0.50363886,0.00017340295,0.00014930045
97.0,4.087481948506311,-0.2,-1.0,0.3333333333333333,0.6,0.484,-0.3164556962025316,0.0,0.9761169,0.48849824,0.00036901937,0.00014730565
101.0,5.461139449457743,0.4,-0.5,0.6666666666666666,0.462,0.207,-0.9493670886075952,0.0,0.999785,0.94460416,0.46575972,0.0001047282
101.0,5.853072210270753,-1.2,1.5,0.3333333333333333,0.4,0.258,-0.23628691983122374,3.428571428571431,0.029361997,0.005261315,0.0005156361,0.00020264903
101.0,5.94540005218686,-0.4,0.5,-0.6666666666666666,0.444,0.44,0.20675105485232068,0.0,0.9585588,0.012639728,0.00024604172,0.00016466322
101.0,4.549852817208747,1.6,-0.75,1.3333333333333333,0.263,0.047,-0.13924050632911386,0.0,0.9999212,0.9824047,0.5897359,0.026054827
101.0,4.8673112198874,-1.2,-0.5,0.0,0.2,-0.167,0.06751054852320672,10.000000000000007,0.96242225,0.45700428,0.0014554426,0.000868368
99.0,7.773058408331997,0.2,0.0,-0.3333333333333333,0.333,0.254,0.510548523206751,7.285714285714291,0.99206066,0.49896628,0.00028994383,0.00072910753
99.0,6.629209766472893,0.2,0.25,0.0,0.5,0.425,0.4599156118143459,0.0,0.9955113,0.1169298,9.6522606e-05,0.00026638163
99.0,5.765753211957615,1.2,-0.5,0.6666666666666666,0.706,0.75,-0.36708860759493667,0.0,0.94486344,0.8345385,0.0003762266,0.0001387576
101.0,5.1802591491471475,1.6,0.5,0.0,0.526,0.409,-0.4261603375527424,0.0,0.9998306,0.9982083,0.042806786,0.0012773859
101.0,5.505414660826121,0.2,-0.5,0.0,0.5,0.338,0.41350210970464135,3.428571428571431,0.9971136,0.48302412,0.00050694816,0.00018129974
99.0,10.791340175204445,-0.2,0.25,0.0,0.6,0.593,0.5274261603375527,0.0,0.9956449,0.501595,0.00023800651,0.0004512922
99.0,11.152842263363816,1.0,0.5,0.0,0.938,0.946,0.7468354430379747,5.428571428571432,0.9708763,0.028118573,0.0022013881,0.0060957787
101.0,5.303309924608541,1.4,0.25,0.6666666666666666,0.278,0.136,-0.45569620253164556,0.0,0.9995522,0.994781,0.4556045,0.00047536223
101.0,5.182936866914625,-0.4,0.0,-0.3333333333333333,0.556,0.397,0.7468354430379747,0.0,0.99986124,0.05656575,0.00057178555,0.0001817689
98.0,6.937251874491792,-0.8,0.0,-0.3333333333333333,0.286,0.0,-0.5063291139240506,8.857142857142863,0.9706635,0.45512843,0.000402873,0.0009437901
101.0,5.134744700203038,0.0,1.0,1.3333333333333333,0.455,0.324,-1.329113924050633,5.428571428571432,0.9997842,0.038630094,0.0038679612,0.0029695246
98.0,6.870415211148097,0.4,0.0,0.3333333333333333,0.462,0.274,-0.11392405063291139,0.0,0.99996114,0.9496384,0.00086112483,0.00018900714
101.0,4.926628494098237,-0.2,0.5,0.0,0.5,0.278,-0.8776371308016877,3.428571428571431,0.08594243,0.01631653,0.0004233559,0.00014300327
101.0,6.5671549878161155,-1.2,-0.5,0.0,0.8,0.778,0.0,0.0,0.004577515,0.0011155589,0.00024719498,0.0003189224
99.0,7.201835725193234,-0.2,-1.0,0.3333333333333333,0.6,0.667,0.4472573839662447,8.428571428571434,0.96398944,0.24726047,0.0003267419,0.0005090573
100.0,7.978107618816021,0.6,-0.5,0.0,0.357,0.196,0.38818565400843885,0.0,0.99957377,0.5385629,0.0064545316,0.00059699314
99.0,5.292020109573036,0.4,0.0,-0.3333333333333333,0.462,0.412,1.227848101265823,0.0,0.9787214,0.91029966,0.00015091206,0.00016711402
100.0,6.105879745322377,0.2,0.0,-0.3333333333333333,0.417,0.298,0.35443037974683544,0.0,0.9955662,0.51571506,8.661712e-05,0.00014470745
98.0,8.266588138396248,0.2,0.0,-0.3333333333333333,0.5,0.431,0.9113924050632911,0.0,0.99292094,0.100070864,0.0013826544,0.00078662724
99.0,6.604433454533059,0.0,0.0,0.3333333333333333,0.636,0.603,-0.5569620253164557,0.0,0.9965205,0.48550412,0.00020479389,0.00018238043
101.0,5.364575610099139,-0.2,0.0,-0.3333333333333333,0.5,0.362,1.1940928270042195,0.0,0.99946505,0.50393564,0.00024003779,0.00016286767
101.0,5.37742948144334,1.0,-0.5,1.3333333333333333,0.25,0.0,-1.172995780590717,0.0,0.9998097,0.52864385,0.014235955,0.0031558275
99.0,5.512017517627171,-0.6,0.25,0.0,0.5,0.413,0.7341772151898733,0.0,0.9762729,0.008902209,7.6763696e-05,0.00016286767
99.0,7.7511403246675545,0.6,0.5,0.3333333333333333,0.643,0.595,0.14767932489451474,0.0,0.9991549,0.95456886,0.000112529466,0.00027172716
99.0,8.128290944842316,1.0,-1.0,1.0,0.438,0.409,-0.763713080168776,2.8571428571428585,0.9980867,0.5335805,0.028756434,0.0033093793
98.0,5.450278740384396,-0.4,0.5,0.0,0.889,0.933,-0.3966244725738398,0.0,0.0055703474,0.0017997436,7.9090576e-05,0.00011910609
99.0,7.277556305538383,1.4,0.0,-0.3333333333333333,0.333,0.224,1.0337552742616032,0.0,0.9963503,0.97287333,0.0029079905,0.0005300292
99.0,5.303363857557349,-0.6,0.0,-0.3333333333333333,0.5,0.236,0.5021097046413502,10.14285714285715,0.030348103,0.007281883,0.00019630954,0.0002627878
99.0,6.549985023433385,0.0,0.0,0.3333333333333333,0.636,0.603,-0.5569620253164557,0.0,0.9955597,0.4896948,0.00019017875,0.00018238043
99.0,5.453998322643308,-0.4,0.0,-0.3333333333333333,0.667,0.554,0.021097046413502126,0.0,0.9965932,0.05024742,5.6027566e-05,0.00014720068
99.0,5.419876780029415,-0.6,0.0,1.0,0.875,0.911,-1.7721518987341771,0.0,0.0017583693,6.386378e-05,0.00013335241,0.00084787764
101.0,5.0789620353292415,0.0,0.0,0.3333333333333333,0.545,0.452,-0.20675105485232068,0.0,0.99919575,0.8820586,0.36444274,0.00015726175
99.0,5.782113511687994,-0.2,0.0,-0.3333333333333333,0.7,0.517,0.860759493670886,0.0,0.9515812,0.026953405,4.42924e-05,0.00016286767
98.0,4.993059589218971,-0.8,0.5,-0.6666666666666666,0.571,0.571,0.9789029535864979,0.0,0.9957377,0.0075916867,0.00011976101,0.0001817689
99.0,5.9546300890615305,0.6,0.0,-0.3333333333333333,0.5,0.279,0.32489451476793246,0.0,0.9985373,0.9427906,0.001462197,0.00014054652
99.0,5.6247044365327845,-0.4,0.0,0.3333333333333333,0.778,0.784,-0.23628691983122355,10.14285714285715,0.96078676,0.00065818685,0.00010614915,0.00025327486
101.0,6.511977427468868,-1.2,-0.5,0.0,0.8,0.778,0.0,0.0,0.0021505982,0.0010671482,0.00024719498,0.0003189224
101.0,6.539284968809398,-1.2,-0.5,0.0,0.8,0.778,0.0,0.0,0.004577515,0.0010671482,0.00024719498,0.0003189224
99.0,7.0756403827732175,-0.2,-1.0,0.3333333333333333,0.3,0.203,0.160337552742616,0.0,0.09347244,0.042037666,0.00073703384,0.0005037291
101.0,5.144982352364793,0.6,0.5,0.6666666666666666,0.357,0.212,-0.7721518987341773,25.42857142857145,0.9999312,0.9925406,0.03216222,0.00038608478
101.0,4.769661848057985,1.0,-0.75,0.6666666666666666,0.375,0.219,-0.11814345991561181,0.0,0.99995244,0.5308589,0.00923748,0.0006120789
98.0,6.729387342914381,-0.6,0.0,-0.3333333333333333,0.625,0.571,0.4683544303797468,0.0,0.9930322,0.0077942302,7.073754e-05,0.00026638163
98.0,5.410435946116106,-0.4,0.0,0.3333333333333333,0.556,0.442,-0.5400843881856539,0.0,0.9812206,0.012679139,0.00036160878,0.00011552067
101.0,4.826332971036025,0.4,-0.5,0.0,0.538,0.515,-0.4345991561181434,0.0,0.97854954,0.9269327,0.00058536313,0.00015665975
97.0,5.344764748751551,-1.0,-0.5,0.0,0.5,0.556,0.080168776371308,0.0,0.9879683,0.48201388,0.00011680535,0.00015948174
100.0,5.896451753045883,-0.2,0.75,0.3333333333333333,0.9,0.867,0.24472573839662448,0.0,0.021996563,0.0049752034,0.00016366658,0.00015100939
99.0,5.377954113958041,-0.6,0.0,1.0,0.875,0.911,-1.7721518987341771,0.0,0.005334034,0.00023647651,0.00013335241,0.00084787764
101.0,5.212096876003377,0.2,-0.75,0.6666666666666666,0.5,0.42,0.06751054852320672,10.14285714285715,0.99918276,0.5162825,0.0035205479,0.000571595
101.0,5.876205763700521,-0.8,-1.0,0.3333333333333333,0.857,0.8,0.06329113924050633,0.0,0.929474,0.0015527343,0.0001556675,0.00014981213
98.0,6.661887879117365,-0.8,0.0,-0.3333333333333333,0.571,0.415,0.7130801687763713,0.0,0.99067503,0.014381751,9.773618e-05,0.00028561446
99.0,5.8872964510931585,-0.6,0.5,-0.6666666666666666,0.75,0.683,1.0295358649789028,0.0,0.91477597,0.011919117,6.508734e-05,0.00017472949
101.0,4.5979533147776595,0.2,0.25,0.6666666666666666,0.917,0.934,-1.316455696202532,0.0,0.019232465,0.0006322187,0.00053549075,0.00044882047
101.0,4.47065493202205,0.0,0.5,0.0,0.455,0.32,0.3924050632911392,0.0,0.99966455,0.040630314,0.00029063335,0.00016000106
97.0,5.013183584723877,-0.6,0.5,0.6666666666666666,0.5,0.39,-1.4725738396624473,0.0,0.9961118,0.019673843,0.00055536337,0.00044882047
101.0,5.590059184391789,-0.4,-0.5,0.0,0.778,0.717,0.5316455696202532,0.0,0.051139127,0.01892708,0.000105621344,0.00017262233
99.0,5.0242412633810245,1.4,-1.5,0.6666666666666666,0.278,0.167,0.01687763713080161,6.857142857142862,0.99948174,0.9921299,0.016986238,0.0029515412
99.0,6.236996132082814,0.4,0.5,0.3333333333333333,0.462,0.25,0.5063291139240504,2.0000000000000018,0.99657565,0.5097366,0.00094598153,0.00024685296
99.0,5.953995532749215,-0.6,0.0,-0.3333333333333333,0.625,0.638,0.34599156118143454,8.857142857142863,0.9680942,0.45424464,0.00015263169,0.00037403562
101.0,5.4302016987143915,-1.2,0.0,-0.3333333333333333,0.4,0.103,0.5063291139240506,0.0,0.14242384,0.0024248178,0.00025125622,0.00031919696
101.0,5.417888385898284,0.2,1.0,0.3333333333333333,0.917,0.912,-0.7848101265822784,0.0,0.010273227,0.0001712227,9.998179e-05,0.00010415843
101.0,6.511867851037201,-1.2,0.25,0.0,0.8,0.763,0.13502109704641346,0.0,0.01640274,0.00337283,0.00018640509,0.00026638163
101.0,4.115119834626428,-0.2,-1.0,1.0,0.6,0.491,-1.2489451476793245,0.0,0.9808121,0.022313524,0.00034212,0.00070505793
99.0,7.227206765252479,0.2,0.75,0.3333333333333333,0.333,0.162,-0.8354430379746834,0.0,0.9996481,0.46890646,0.00017688538,0.0004923264
101.0,5.366302121523997,1.4,0.0,0.3333333333333333,0.611,0.577,0.1223628691983122,0.0,0.9998734,0.034507755,0.0004484958,0.00016169119
