,local_AA,local_CA,global_AA,global_CA,blosum_dist
0,4.690,1.415,4.896,1.828,-20.0
0,5.117,3.037,7.704,6.268,-9.0
0,0.573,0.349,0.728,0.536,0.0
0,1.781,0.797,1.857,0.928,4.643856189774724
0,5.643,3.372,10.389,9.667,-30.18506523353571
0,1.100,1.240,1.172,1.447,10.0
0,5.631,4.310,11.212,11.292,-20.60451250937503
0,1.361,0.338,1.402,0.447,7.0
0,5.175,3.571,6.341,5.072,-39.0
0,1.892,0.680,2.463,1.394,-9.0
0,5.659,2.380,6.308,4.263,-42.0
0,2.724,1.593,4.772,4.214,-27.863137138648348
0,1.779,0.680,4.577,2.758,1.0
0,5.208,2.518,8.710,7.739,-36.0
0,3.836,2.243,7.148,5.843,4.754887502163469
0,1.900,1.166,2.619,1.837,-11.0
0,1.970,0.687,2.794,1.468,0.0
0,1.113,0.073,1.756,0.987,5.0
0,1.943,0.844,2.698,2.223,-9.0
0,3.092,1.219,3.987,1.472,-30.0
0,4.936,2.741,6.882,4.951,-39.0
0,2.859,2.550,3.599,3.475,-6.0
0,1.984,1.270,5.134,4.044,-10.0
0,5.711,4.348,9.869,8.589,-25.26619429851844
0,5.416,3.687,7.941,5.076,-12.0
0,2.523,1.668,3.430,2.988,-7.0
0,4.361,2.251,4.824,3.059,-34.82892142331043
0,2.871,1.505,3.823,2.632,-8.0
0,1.705,0.840,2.356,2.035,-4.0
0,1.881,0.334,2.285,0.999,-7.0
0,3.203,1.472,4.207,3.033,-1.5849625007211563
0,2.434,1.544,2.970,1.955,-20.60451250937503
0,2.992,0.714,5.279,3.103,-6.339850002884625
0,4.944,3.533,9.395,8.643,-30.880904142633646
0,4.053,2.375,4.694,3.177,-16.0
0,4.075,2.423,5.471,4.479,-10.0
0,2.931,1.651,5.527,3.775,-9.0
0,5.335,3.799,6.232,5.636,-16.253496664211536
0,5.368,3.354,7.514,6.001,-25.541209043760983
0,5.432,3.894,10.182,10.182,-12.0
0,1.048,0.488,1.384,1.092,8.0
0,4.408,3.174,5.277,4.680,-6.965784284662087
0,1.156,0.215,1.347,0.740,-15.0
0,5.181,3.189,5.667,4.800,-37.150849518197795
0,1.483,0.821,1.849,1.464,-7.924812503605781
0,4.717,1.164,5.763,3.272,-6.0
0,3.332,2.542,4.406,4.145,-2.0
0,6.032,5.270,9.470,9.258,-30.0
0,2.847,2.112,4.488,3.987,-19.651484454403228
0,5.309,3.259,6.511,4.847,-25.84962500721156
0,1.814,0.873,2.079,1.684,-7.924812503605781
0,2.777,1.923,2.912,2.934,-4.0
0,3.276,1.836,3.964,2.839,-5.0
0,3.099,2.594,5.280,5.776,-22.18947501009619
0,3.378,2.337,4.124,3.383,-20.89735285398626
0,1.703,1.218,2.694,3.037,-38.77443751081734
0,4.192,2.198,4.953,2.843,-11.0
0,5.271,2.897,8.307,8.173,-25.541209043760983
0,3.089,1.856,5.700,4.221,-9.0
0,9.096,7.290,11.468,10.683,-46.604512509375034
0,4.991,2.144,5.907,3.306,-22.0
0,1.567,0.982,2.424,2.343,23.25349666421154
0,1.155,0.090,2.122,2.218,6.0
0,4.447,2.312,6.551,4.446,-12.92481250360578
0,5.168,3.161,7.174,5.562,-20.0
0,4.972,2.245,5.097,2.714,-26.0
0,0.665,0.254,0.904,0.554,4.0
0,1.920,0.918,2.355,1.738,-11.229419688230417
0,2.421,1.235,5.068,4.325,-14.0
0,4.305,2.646,6.296,4.278,-19.019550008653876
0,3.989,2.383,4.619,3.055,-17.43458750793272
0,3.676,2.469,4.466,3.832,-6.0
0,0.729,0.244,0.824,0.553,9.509775004326938
0,2.845,1.277,4.153,2.817,-4.754887502163469
0,1.346,0.407,2.569,2.524,-7.0
0,6.145,4.597,10.291,10.473,-39.302968908806456
0,5.187,2.921,7.643,4.734,-16.0
0,3.548,1.536,4.564,3.032,-9.0
0,4.484,3.970,5.507,5.059,-27.863137138648348
0,1.632,0.473,1.940,0.761,0.0
0,3.243,2.052,3.634,2.274,-32.50699332842307
0,1.321,0.334,1.519,0.985,-8.0
0,0.455,0.134,0.547,0.177,14.264662506490406
0,3.300,1.644,4.317,2.804,-18.0
0,6.074,3.379,7.941,6.372,-30.18506523353571
0,5.726,4.406,8.495,7.979,-15.0
0,3.708,2.624,3.965,3.336,-33.68825906469125
0,2.839,1.719,4.367,3.770,-7.0
0,6.177,3.632,7.093,5.171,-11.094737505048094
0,5.123,2.610,7.657,5.600,-20.0
0,5.123,3.132,9.012,6.365,-20.60451250937503
0,4.076,1.862,5.076,3.888,-6.965784284662087
0,0.814,0.350,1.053,0.782,6.339850002884625
0,,,,,-33.60451250937503
0,4.302,1.592,5.357,3.057,-12.0
0,5.633,4.974,8.013,8.079,-55.506595772116384
0,4.461,2.410,7.288,5.484,-20.0
0,2.252,1.469,2.788,2.078,7.924812503605781
0,3.426,2.286,3.628,2.717,-7.0
0,3.751,2.247,4.753,3.664,-16.0
0,0.981,0.206,1.308,0.799,0.0
0,3.646,1.793,4.953,3.298,1.0
0,5.715,3.924,6.072,4.615,-32.0
0,3.626,1.840,5.738,4.135,-23.21928094887362
0,3.478,2.027,6.909,6.106,-41.20902501875006
0,2.685,1.613,2.951,2.262,-20.0
0,0.804,0.360,1.067,0.572,14.264662506490406
0,2.048,1.138,2.086,1.336,-17.43458750793272
0,3.507,1.728,4.490,2.482,-27.863137138648348
0,1.025,0.320,1.245,0.686,4.0
0,3.231,2.701,4.020,3.620,-26.0
0,3.558,1.258,4.472,2.083,-30.18506523353571
0,5.069,3.723,6.512,5.108,-43.18506523353572
0,1.301,0.390,1.604,0.924,11.229419688230417
0,4.845,3.015,6.411,5.261,-22.18947501009619
0,2.354,1.551,3.984,3.122,-7.924812503605781
0,3.728,2.503,8.035,6.913,-23.774437510817343
0,3.123,1.457,4.183,2.241,4.643856189774724
0,1.765,0.965,2.322,1.719,-9.0
0,5.929,3.923,6.912,5.304,-19.019550008653876
0,3.326,2.063,3.687,2.625,-22.0
0,1.389,1.236,1.573,1.547,-5.169925001442312
0,7.488,5.448,9.554,7.881,-13.0
0,3.411,2.502,4.092,3.687,-10.75488750216347
0,4.202,2.934,5.080,3.716,-20.67970000576925
0,2.627,0.984,3.506,2.341,-9.287712379549449
0,4.866,2.712,5.817,4.547,-33.0
0,1.063,0.113,1.124,0.237,4.0
0,5.548,5.320,7.016,7.652,-12.0
0,1.357,0.523,1.520,0.849,6.339850002884625
0,4.685,2.778,6.267,4.819,-10.0
0,4.420,2.404,4.874,3.580,-24.0
0,0.770,0.291,1.029,0.598,3.0
0,4.717,1.759,6.096,3.717,-13.0
0,3.234,2.403,4.228,3.700,-25.3594000115385
0,3.219,1.758,3.967,3.585,-20.89735285398626
0,5.205,2.925,6.137,3.950,-22.458839376460833
0,1.256,0.424,1.354,0.570,4.0
0,3.943,2.475,6.476,6.773,-46.50699332842308
0,1.951,0.756,2.402,0.902,-8.0
0,5.543,4.556,11.313,10.194,-28.0
0,4.336,1.480,4.517,1.798,-9.0
0,4.125,2.075,5.007,3.830,-9.509775004326938
0,3.465,1.993,5.973,3.925,-7.0
0,4.124,3.077,5.310,4.345,-10.0
0,4.276,2.055,5.907,4.159,-19.019550008653876
0,5.195,4.070,5.372,4.811,-8.422064766172813
0,7.128,6.006,12.150,10.565,-33.68825906469125
0,1.116,0.190,1.217,0.415,14.264662506490406
0,3.101,1.551,4.576,3.633,1.5849625007211563
0,5.248,2.322,5.573,2.913,-10.0
0,3.970,2.613,8.091,7.558,-23.774437510817343
0,0.934,0.204,1.168,0.864,24.0
0,3.155,2.114,3.403,2.504,-3.0
0,6.614,5.348,12.488,12.295,-33.0
0,2.745,1.649,3.803,2.976,-20.67970000576925
0,2.078,0.965,2.328,1.262,-14.0
0,2.147,0.427,3.168,0.799,-9.0
0,1.227,0.234,1.329,0.476,4.0
0,3.614,1.931,4.223,2.408,-7.0
0,4.394,2.652,4.879,2.987,-12.0
0,5.209,3.683,6.526,5.191,-25.541209043760983
0,5.933,4.378,10.599,8.223,-25.3594000115385
0,6.354,4.680,8.642,7.976,-45.0
0,4.784,2.348,6.592,5.063,-24.0
0,4.596,1.656,4.669,1.767,-9.509775004326938
0,2.782,2.257,3.317,2.838,-25.3594000115385
0,4.548,1.952,8.831,5.964,-10.0
